track_id,genre
2,Hip-Hop
3,Hip-Hop
5,Hip-Hop
10,Pop
134,Hip-Hop
136,Rock
139,Folk
140,Folk
141,Folk
148,Experimental
181,Rock
182,Rock
190,Folk
193,Folk
194,Folk
197,Folk
198,Folk
200,Folk
203,Folk
204,Folk
207,Folk
208,Folk
209,Folk
210,Folk
211,Folk
212,Folk
213,Pop
237,Jazz
247,Rock
249,Rock
255,Rock
256,Rock
257,Rock
258,Rock
341,Rock
343,Rock
352,Rock
368,Rock
369,Rock
397,Electronic
398,Electronic
399,Electronic
400,Electronic
405,Electronic
414,Electronic
424,Experimental
425,Experimental
458,Rock
459,Rock
512,Rock
534,Folk
535,Folk
536,Folk
537,Folk
540,Folk
546,Folk
550,Electronic
564,Rock
573,Rock
574,Rock
583,Hip-Hop
584,Hip-Hop
585,Hip-Hop
590,Jazz
591,Jazz
592,Jazz
593,Jazz
602,Folk
603,Folk
605,Rock
608,Rock
615,Experimental
619,Folk
620,Folk
621,Folk
625,Folk
629,Folk
631,Folk
633,Rock
635,Rock
664,Electronic
665,Electronic
666,International
667,International
668,Hip-Hop
669,Hip-Hop
672,Hip-Hop
673,Hip-Hop
674,Hip-Hop
676,Hip-Hop
677,Hip-Hop
679,Hip-Hop
680,Hip-Hop
681,Hip-Hop
684,Hip-Hop
686,Hip-Hop
690,Rock
694,Hip-Hop
695,Hip-Hop
696,Rock
698,Rock
701,Rock
702,Rock
703,Rock
704,International
705,International
706,International
707,International
708,International
709,International
714,Folk
715,Folk
716,Folk
717,Folk
718,Folk
720,Rock
734,Soul-RnB
735,Soul-RnB
736,Soul-RnB
737,Soul-RnB
738,Soul-RnB
739,Soul-RnB
740,Soul-RnB
741,Soul-RnB
742,Soul-RnB
743,Soul-RnB
744,Soul-RnB
745,Soul-RnB
747,Soul-RnB
748,Soul-RnB
749,Soul-RnB
750,Soul-RnB
751,Soul-RnB
752,Soul-RnB
753,Soul-RnB
754,Soul-RnB
755,Soul-RnB
756,Soul-RnB
757,Soul-RnB
758,Soul-RnB
759,Soul-RnB
760,Soul-RnB
761,Soul-RnB
762,Soul-RnB
763,Soul-RnB
764,Soul-RnB
765,Soul-RnB
766,Soul-RnB
767,Soul-RnB
768,Soul-RnB
769,Soul-RnB
770,Soul-RnB
771,Soul-RnB
772,Soul-RnB
773,Soul-RnB
774,Soul-RnB
775,Soul-RnB
776,Soul-RnB
777,Rock
814,Folk
819,Experimental
820,Experimental
821,Pop
822,Pop
823,Pop
824,Rock
825,Rock
826,Rock
829,Rock
830,Rock
831,Jazz
832,Jazz
833,Jazz
834,Jazz
835,Jazz
853,International
854,Experimental
855,Rock
858,Rock
861,Rock
863,Rock
868,Experimental
878,Electronic
881,Electronic
889,Electronic
890,Folk
891,Folk
892,Folk
